date,window,signal,ratio,moving_average,slope,state
2025-07-01,120,Risk On,0.5910877620901543,0.5722111658639477,-0.00015267607551727735,Risk On
2025-07-02,240,Risk On,0.5931973749206125,0.5806284941623343,-2.4417894728734346e-05,Risk On
2025-11-14,20,Risk Off,0.7291709607750008,0.7483317231036708,-0.0002658113358319225,Risk Off
2025-12-15,60,Risk Off,0.7069672393965174,0.7251070447444089,0.0005324459740821963,Risk Off
2025-12-31,20,Risk On,0.7256635689673175,0.7096712257267592,-4.899743144770596e-06,Risk On
2026-01-05,60,Risk On,0.7582122840181741,0.7280100221549478,0.00044640771460213724,Risk On
2026-03-31,20,Risk Off,0.8228281462002797,0.8497476569255342,-0.0005112018763036019,Risk Off
2026-04-08,20,Risk On,0.872914744232698,0.8513241246631983,0.0025362306031186943,Risk On
2026-06-04,20,Risk Off,1.0189336616773057,1.0692072699313377,-0.002324390668888787,Risk Off
2026-06-10,60,Risk Off,0.937451307735114,0.9739978589645034,0.0013469838670583378,Risk Off
2026-07-01,20,Risk On,0.9930162085286416,0.9563483252061014,-0.004183456034186683,Risk On
2026-07-08,20,Risk Off,0.9185031916129498,0.9454472765320696,-0.0017541646168865999,Risk Off
2026-07-17,120,Risk Off,0.8745752039183482,0.9223013347529536,0.0008061553936086208,Risk Off
