date,xlk_adj_close,xlf_adj_close,spy_adj_close,xlk_normalized,xlf_normalized,spy_normalized,us_ratio,ma20,slope20,ma20_slope,state20,bull_turn20,bear_turn20,cross_on20,cross_off20,ma60,slope60,ma60_slope,state60,bull_turn60,bear_turn60,cross_on60,cross_off60,ma120,slope120,ma120_slope,state120,bull_turn120,bear_turn120,cross_on120,cross_off120,ma240,slope240,ma240_slope,state240,bull_turn240,bear_turn240,cross_on240,cross_off240
1999-03-03,12.472332954406738,11.51965618133545,76.5434341430664,104.72942872836144,103.55228255515324,102.30453622430863,1.0113676506607303,1.0807441026363236,-0.0077893781575049115,-0.0077893781575049115,Risk Off,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-03-04,12.600077629089355,11.780616760253906,77.5120620727539,105.80209306882662,105.89810461603248,103.59916106352574,0.9990933591535563,1.0723567734614594,-0.008387329174864178,-0.008387329174864178,Risk Off,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-03-05,12.890403747558594,12.078862190246582,79.07158660888672,108.23994400203658,108.5790869779387,105.68355192194072,0.9968765350184696,1.0645028361972195,-0.007853937264239885,-0.007853937264239885,Risk Off,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-03-08,13.26201629638672,11.996853828430176,79.58501434326172,111.36035219586282,107.84189891251216,106.36977650590384,1.032626032356914,1.0593648814633638,-0.0051379547338556986,-0.0051379547338556986,Risk Off,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-03-09,13.12265968322754,12.09377098083496,79.39125061035156,110.19018310728636,108.71310480549026,106.11080055252012,1.0135869388004224,1.0521605849715732,-0.007204296491790663,-0.007204296491790663,Risk Off,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-03-10,13.12265968322754,12.31745433807373,80.08869934082031,110.19018310728636,110.72383514735616,107.0429793828751,0.9951803327679212,1.0455217341508714,-0.006638850820701814,-0.006638850820701814,Risk Off,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-03-11,13.099434852600098,12.377108573913574,80.97988891601562,109.99516560311804,111.26007791259669,108.23410357528964,0.9886310316044148,1.0386215004329,-0.006900233717971327,-0.006900233717971327,Risk Off,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-03-12,12.983302116394045,12.3994779586792,80.20497131347656,109.02000601076412,111.46116037681016,107.19838330969984,0.9780986097956152,1.031093039381176,-0.007528461051724111,-0.007528461051724111,Risk Off,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-03-15,13.192334175109863,12.436753273010254,81.34797668457031,110.7752356197914,111.79623495032006,108.7260732507218,0.9908673191813449,1.0256328766926155,-0.0054601626885604215,-0.0054601626885604215,Risk Off,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-03-16,13.418798446655272,12.257811546325684,81.03799438476562,112.6768424701726,110.18769525513623,108.31176475026976,1.0225900651544877,1.022812254624299,-0.0028206220683164585,-0.0028206220683164585,Risk Off,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-03-17,13.331698417663574,12.153429985046388,80.68923950195312,111.94546877193426,109.24939043448931,107.84563454666002,1.0246782002784869,1.0215242786802616,-0.0012879759440374006,-0.0012879759440374006,Risk Off,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
